Pulse Number,Pulse Amplitude,Average Voltage (V),Average Current (A),Rmax (Ohms),Rmin (Ohms)
1,0.0001,0.003404559,1.00E-04,34.04562881,34.12638876
2,0.0002,0.00681138,0.00020000798,34.05554118,34.1217317
3,0.0003,0.010224614,0.00030000574,34.08139458,34.12182974
4,0.0004,0.013633284,0.00040000206,34.08303447,34.12288937
5,0.0005,0.017047894,0.00050000354,34.0955466,34.12249519
6,0.0006,0.020461522,0.00059999786,34.1026583,34.12442746
7,0.0007,0.023872276,0.00069999662,34.1034161,34.12252451
8,0.0008,0.027288724,0.00079998986,34.11133736,34.12271384
9,0.0009,0.030700152,0.00089999158,34.11159913,34.12254037
10,0.001,0.034118414,0.00099998986,34.11875996,34.1254034
11,0.0011,0.037535572,0.001100054,34.12157221,34.12193907
12,0.0012,0.040953368,0.0012000828,34.12545201,34.12308649
13,0.0013,0.044372888,0.0013000704,34.13114244,34.12328337
14,0.0014,0.047790212,0.001400048,34.13469538,34.12392672
15,0.0015,0.051214106,0.00150009,34.14068889,34.12360784
16,0.0016,0.054635286,0.0016000782,34.14538489,34.12328373
17,0.0017,0.058062436,0.0017000588,34.15319282,34.12289431
18,0.0018,0.061488534,0.0018000828,34.15872537,34.12264201
19,0.0019,0.064914598,0.0019000814,34.16411423,34.12296498
20,0.002,0.068346008,0.0020000672,34.17185583,34.12472472
21,0.0021,0.071778186,0.0021000832,34.17873444,34.12309486
22,0.0022,0.07521057,0.0022001062,34.18497253,34.1225621
23,0.0023,0.078647226,0.0023000772,34.19329838,34.12317957
24,0.0024,0.082085972,0.002400086,34.20126279,34.12507906
25,0.0025,0.085527432,0.0025000966,34.20965094,34.12298511
26,0.0026,0.088970194,0.0026000748,34.21832095,34.12593844
27,0.0027,0.092416368,0.0027000954,34.22707509,34.12393014
28,0.0028,0.095864802,0.002800092,34.23630438,34.12185273
29,0.0029,0.09931555,0.0029000906,34.2456715,34.12429314
30,0.003,0.1027693,0.0030000924,34.25537827,34.12493084
31,0.0031,0.10622718,0.0031000852,34.2658905,34.12209914
32,0.0032,0.10968482,0.0032000688,34.27576932,34.12377618
33,0.0033,0.11315178,0.0033000884,34.28749969,34.12407631
34,0.0034,0.11661738,0.0034000872,34.29834976,34.12392568
35,0.0035,0.1200861,0.0035000516,34.30980846,34.12275308
36,0.0036,0.12355842,0.003600081,34.32101111,34.12309579
37,0.0037,0.12703648,0.0037000846,34.33339876,34.12418044
38,0.0038,0.13051692,0.0038000418,34.34618009,34.1238405
39,0.0039,0.134003,0.0039000754,34.35907931,34.12314307
40,0.004,0.13749204,0.004000083,34.37229677,34.12191088
41,0.0041,0.1409819,0.0041000458,34.38544516,34.12115412
42,0.0042,0.14448204,0.0042000872,34.39977151,34.12322734
43,0.0043,0.1479805,0.004300075,34.41346953,34.1233326
44,0.0044,0.15148698,0.004400038,34.42856175,34.12129026
45,0.0045,0.15499494,0.0045000602,34.44285923,34.12137909
46,0.0046,0.15851056,0.0046000644,34.45833497,34.12303723
47,0.0047,0.16202802,0.0047000376,34.47377102,34.12296749
48,0.0048,0.16555404,0.0048000562,34.49002118,34.12264018
49,0.0049,0.1690816,0.0049000564,34.50605181,34.12289616
50,0.005,0.17261455,0.00500001275,34.52282197,34.12445912
